,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
13,Am Steinberg,bus,"{'42', '31', '45'}","52.55648144940878, 13.429306764151775",nan,"['45', '42', '31']+ {'45', '42', '31'}+ {'42', '45', '31'}",
14,An den Siedlergärten,bus,{'95'},"52.52978984569757, 13.631155957216295",nan,{'95'},
15,Arbeitsstättengebiet Marzahn,bus,{'98'},"52.554372995825766, 13.538398728284623",nan,{'98'},
16,Arkonaplatz,bus,{'78'},"52.53753415367688, 13.401767623579223",nan,"['78', '78E']+ {'78', '78E'}+ {'78E', '78'}",
17,Artur-Becker-Strasse,bus,{'30'},"52.532128259520775, 13.441464475643278",nan,"['30', '54']+ {'54', '30'}+ {'30'}",
18,Backwarenkombinat,bus,{'98'},"52.553581001661065, 13.54508949969031",nan,{'98'},
19,Baumschulenstrasse,bus,"{'66', '65'}","52.460823690124585, 13.503654622533428",nan,"['65', '66']+ {'66'}+ {'65', '66'}",
20,Bhf. Alexanderplatz,bus,{'57'},"52.52074877770386, 13.412147230655155",nan,['57']+ {'57'}+ {'57/E'},
21,Bhf. Friedrichsfelde,bus,{'8'},"52.51386336175537, 13.519096048294683",nan,{'8'},
22,Bhf. Friedrichstrasse,bus,"{'57', '59', '78'}","52.5205606637086, 13.388231915342985",nan,"['78', '57']+ {'78', '59', '57'}+ {'59', '57/E', '78'}",
23,Bhf. Karlshorst,bus,{'96'},"52.481331,13.5254433",nan,['96']+ {'96'}+ {'96'},
24,Bhf. Lichtenberg,bus,"{'54', '8', '30'}","52.51086483639184, 13.499794165236494",nan,"['112', '54', '93', '30', '8']+ {'8', '54', '30'}+ {'54', '8', '30'}",
25,Bhf. Schöneweide,bus,"{'65', '47', '67', '62', '66'}","52.45374952013775, 13.510200397684477",nan,"['47', '62', '65', '66', '67']+ {'62', '67', '65', '66', '47'}+ {'66', '67', '62', '47', '65'}",
26,"Biesdorf-Süd, Köpenicker Strasse",bus,{'35'},"52.50540750631891, 13.561822203827356",nan,{'35'}+ {'35'},
27,"Bohnsdorf, Kirche",bus,{'36'},"52.39948771402893, 13.555574431978044",nan,['36']+ {'36'}+ {'36'},
28,"Bohnsdorf, Waldstrasse",bus,{'38'},"52.389397192754984, 13.570666562153916",nan,['38']+ {'38'}+ {'38'},
