,stop_id,stop_name,type,location,in_lines,identifier
203,1963203,Lindenstrasse/Hegelschule,strassenbahn,"52.4505094,13.572684",['82'],Q66095701
204,1963204,Luxemburgplatz,u-bahn,"52.528333333333,13.410277777778",['A'],Q658790
205,1963205,Magdalenenstrasse,u-bahn,"52.5125,13.486388888889",['E'],Q473901
206,1963206,Mahlsdorf-Süd,strassenbahn,"52.4741663,13.5991443",['83'],Q66368466
207,1963207,"Mahlsdorf-Süd, Hubertus",strassenbahn,"52.4741663,13.5991443","['82', '86']",Q66368466
208,1963208,"Malchow, Dorfstrasse",Autobus,"52.580462270708544, 13.482797576255583","['A 46', 'A L']",
209,1963209,Malchower Weg,Autobus,"52.56152031238405, 13.500485897507804",['A 46'],
210,1963210,Marchlewskistrasse,u-bahn,"52.516794444444,13.444991666667",['E'],Q551768
211,1963211,Margaretenaue,strassenbahn,"52.587907241470944, 13.430038901840085",['49'],
212,1963212,Markgrafendamm,Autobus,"52.49919969372071, 13.465742293248686",['A 82 P'],
213,1963213,Marx-Engels-Platz,Autobus,"52.51617617310524, 13.400937413635054","['A 57', 'A 9']",
214,1963214,"Marzahn, Berliner Chaussee",Autobus,"52.54286481407268, 13.550124906736844",['A 43'],
215,1963215,Marzahner Chaussee,Omnibus,"52.53978688562053, 13.53943029431785",['O 37'],
216,1963216,Molkenmarkt,strassenbahn,"52.51679321421663, 13.409330619020574","['72', '74', '71']",
217,1963217,Müggelheim,Autobus,"52.41018331064196, 13.665897531850348",['A 27'],
218,1963218,Müggelseeperle,Autobus,"52.42170168937569, 13.640893083169368",['A 27'],
219,1963219,Neu-Lindenberg,Autobus,"52.600885625411856, 13.554794085696633",['A L'],
220,1963220,Nordend,Autobus,"52.59006569360479, 13.401740566033476",['A 7'],
221,1963221,Nordend,strassenbahn,"52.5902104,13.4027524",['46'],Q65032696
222,1963222,Nordendstrasse,strassenbahn,"52.588534,13.3882952",['22'],Q65428345
223,1963223,Normannenstrasse,Autobus,"52.41755553724523, 13.541493283222094",['A 23'],
224,1963224,"Oberspree, Bruno-Bürgel-Weg",strassenbahn,"52.452777014581045, 13.537124836409932",['92'],
225,1963225,Omnibus-Bf. Lichtenberger Strasse,strassenbahn,"52.5442346,13.4687215",['3'],Q65939077
226,1963226,Oranienburger Tor,Autobus,"52.52716314203455, 13.38710905184874","['A 9', 'A 59']",
227,1963227,Oranienburger Tor,Omnibus,"52.52716314203455, 13.38710905184874",['O 40'],
228,1963228,Oranienburger Tor,strassenbahn,"52.5256031,13.3872745","['1', '46', '70', '11', '69']",Q65095375
229,1963229,Ossietzkyplatz,strassenbahn,"52.58100580136794, 13.404014807678767",['46'],
230,1963230,Ostbahnhof,Omnibus,"52.50976670730252, 13.43372198235041",['O 40'],
231,1963231,Ostbahnhof,strassenbahn,"52.509107635417394, 13.43550619008533","['82', '1']",
232,1963232,Pankow (Vinetastrasse),u-bahn,"52.559166666667,13.413333333333",['A'],Q570906
233,1963233,"Pankow, Kirche",Autobus,"52.57124680898358, 13.410670715665145","['A 55', 'A 58', 'A 45']",
234,1963234,"Pankow, Kirche",strassenbahn,"52.5706452,13.4103115","['22', '49', '46']",Q65055066
235,1963235,"Pankow, Rathaus",Autobus,"52.56953908840178, 13.404186437171612","['A 45', 'A 55', 'A 58', 'A 7']",
236,1963236,"Pankow, Rathaus",strassenbahn,"52.5694816,13.4038045","['22', '46']",Q65055060
237,1963237,Parkstrasse,strassenbahn,"52.45870588645984, 13.539865120378947",['87'],
238,1963238,Parkstrasse Ecke An der Wuhlheide,strassenbahn,"52.458692811582104, 13.539859756020707",['82'],
239,1963239,Parkstrasse Ecke An der Wulheide,strassenbahn,"52.458692811582104, 13.539859756020707",['95'],
240,1963240,Piesporter Strasse,Autobus,"52.560428325050296, 13.476578086985889",['A 55'],
241,1963241,Platz vor dem Neuen Tor,Autobus,"52.52921245715711, 13.378513556812177",['A 9'],
242,1963242,Post,Autobus,"52.47029587176764, 13.786537970773646","['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']",
243,1963243,Prenzlauer Allee,strassenbahn,"52.5396522,13.4244789",['4'],Q65222180
244,1963244,Prenzlauer Allee Ecke Dimitroffstrasse,strassenbahn,"52.539197857899126, 13.424201067893557",['13'],
245,1963245,Prenzlauer Promenade,Autobus,"52.5516751737526, 13.430326005865055",['A 56'],
246,1963246,Prenzlauer Promenade,strassenbahn,"52.55155536618067, 13.43032253030515","['70', '72', '3']",
247,1963247,Prenzlauer Promenade (Spitze),Autobus,"52.55169017006126, 13.430288457592285",['A 42'],
248,1963248,Prenzlauer Promenade (Spitze),strassenbahn,"52.5516751737526, 13.430326005865055",['71'],
249,1963249,Prenzlauer Promenade Ecke Granitzstrasse,Autobus,"52.572092016203484, 13.42875772052513",['A 55'],
250,1963250,Prenzlauer Promenade Ecke Kissingenstrasse,Autobus,"52.56795804833996, 13.427734373319213",['A 45'],
251,1963251,Prenzlauer Tor,Omnibus,"52.52709114016772, 13.415809370320808",['O 40'],
252,1963252,Prenzlauer Tor,strassenbahn,"52.52709114016772, 13.415809370320808",['71'],
253,1963253,Proskauerstrasse Ecke Dolziger Strasse,Omnibus,"52.519874079766325, 13.463289228834057",['O 30'],
254,1963254,Rahnsdorf,strassenbahn,"52.443531694444445,13.685038",['87'],Q66361311
255,1963255,Rahnsdorfer Strasse Ecke Hultschiner Damm,strassenbahn,"52.49863606696212, 13.613320584450898",['83'],
256,1963256,Rennbahnstrasse Ecke Bernkasteler Strasse,strassenbahn,"52.55697630217991, 13.466894532923181",['74'],
257,1963257,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,Autobus,"52.56218648050474, 13.454267038723398",['A 56'],
258,1963258,Richtershorn,strassenbahn,"52.40105,13.6248473",['86'],Q66481215
