,stop_id,stop_name,type,location,in_lines,identifier,stop_description
16,196416,"Alexanderplatz, Neue Königstrasse",bus,"52.52004899287185, 13.414018555056696",O30,nan,nan
17,196417,Alexandrinenstrasse Ecke Neuenburgerstrasse,bus,"52.49949226647086, 13.400403454687233",A24,nan,nan
18,196418,Almutstrasse Ecke Berliner Strasse,bus,"52.61486318631112, 13.31700949454557",A12,nan,nan
19,196419,"Alt-Biesdorf, Oberfeldstrasse",bus,"52.50918606891929, 13.553347058493491","O37,A8,A8E",nan+ nan,"nan+ Alt-Biesdorf, Oberfeldstrasse"
20,196420,Alt-Buckow Ecke Buckower Damm,bus,"52.42365120067525, 13.436635949176258",A91,nan,nan
21,196421,Alt-Friedrichsfelde,strassenbahn,"52.50914093654053, 13.518129930582422",69E,nan,nan
22,196422,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"52.50914093654053, 13.518129930582422","69,69E",nan,nan
23,196423,"Alt-Friedrichsfelde, Am Tierpark",bus,"52.5097025850849, 13.518832511815527","A43,O37,A8,A8E",nan,nan
24,196424,Alt-Heiligensee,bus,"52.60616921042186, 13.210646859320935","A14,A13",nan,Alt-Heiligensee
25,196425,Alt-Karow,bus,"52.60931228539711, 13.481265848599735",A42,nan,nan
26,196426,Alt-Kladow,bus,"52.454591413254434, 13.144488043956764","A34,A35",nan,Alt-Kladow
27,196427,Alt-Kladow Ecke Kladower Damm,bus,"52.453456955410275, 13.143930501157236",A35E,nan,nan
28,196428,"Alt-Lankwitz, Dorfaue",bus,"52.43908382575332, 13.354417745001864",A81,nan,nan
29,196429,Alt-Mariendorf Ecke Mariendorfer Damm,bus,"52.4401947729646, 13.38731752606722","A76,AS2s,A78, A81","nan, nan","nan, nan"
30,196430,Alt-Marienfelde,bus,"52.413385082183694, 13.36338063003787",A52,nan,Alt-Marienfelde Ecke Marienfelder Allee
31,196431,"Alt-Marzahn, Kirche",bus,"52.542423454435976, 13.564061751343658",O37,nan,"Alt-Marzahn, Kirche"
