stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
187,Breitenbachstrasse Ecke Eichborndamm,bus,A15,"52.57783789535704, 13.314837431368987",,,,
188,Breitscheidplatz,bus,"A19,A29,A60","52.504438063129996, 13.33564615707506",nan,212,"A19,A60,A29",Breitscheidplatz
189,Bristolstrasse,bus,A12,"52.558311542070335, 13.351189355013176",nan,214,A12,Bristolstrasse Ecke Barfusstrasse
190,Britz-Süd,u-bahn,C I,"52.437777777778,13.448055555556",Q571845,,,
191,Britzer Damm Ecke Gradestrasse,bus,A73,"52.45262467877224, 13.438590226068557",nan,215,A73,nan
192,Britzer Damm Ecke Tempelhofer Weg,bus,A25,"52.44894113315902, 13.436220481040927",,,,
193,Brixplatz,bus,A4,"52.51907944117457, 13.25699370576959",nan,216,A4,Brixplatz
194,Brunnenplatz,bus,A99,"52.54967231813887, 13.377205988834362",,,,
195,Brunnenstrasse,strassenbahn,"46,70","52.5324542,13.3974236",Q65691740,217,"46,70",Brunnenstraße/Invalidenstraße
196,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,11,"52.5324542,13.3974236",Q65691740,218,11,nan
197,Brunnenstrasse Ecke Lortzingstrasse,bus,A99,"52.542546240732094, 13.392728124104385",,,,
199,Buch,s-bahn,KBS 106,"52.6359,13.4917",Q4892359,220,KBS 106,Berlin-Buch station
200,"Buch, Kiesgruben",bus,A42,"52.641758052786535, 13.515964627443202",nan,221,A42,nan
201,"Buchholz, Hauptstrasse",strassenbahn,49,"52.619072064369824, 13.393383358408967",nan,222,49,"Buchholz, Hauptstrasse"
202,Buckower Ch.,s-bahn,KBS 100c,"52.4103,13.3829",Q800499,223,KBS 105,Buckower Chaussee station
203,Buckower Chaussee Ecke Lichtenrader Damm,bus,A76,"52.41457113222887, 13.401203951196644",nan,225,A76,nan
204,Buckower Chaussee Ecke Mariendorfer Damm,bus,AS2s,"52.41454962275545, 13.401182443012997",,,,
205,Buckower Damm,bus,A52,"52.42368329841466, 13.436638725763267",nan,226,A52,Buckower Damm Ecke Alt-Buckow
206,Buckower Friedhof,bus,A52,"52.42151537347778, 13.43036950960343",nan,227,A52,Buckower Friedhof
207,Bundesallee Ecke Badenische Strasse,bus,"A4","52.48613795045858, 13.33110029774997",,,,
208,Bundesallee Ecke Berliner Strasse,bus,"A89, A74, A85","52.487321004799746, 13.331012834110986",,,,
209,Bundesplatz,bus,A85,"52.47869393029977, 13.328448766668432",,,,
210,Bundesallee Ecke Rheinstrasse,bus,"A84,A48,A17","52.46493423553767, 13.328438507021911",,,,
211,Bundesallee Ecke Tratenaustrasse,bus,A50,"52.49318663087416, 13.330848427020651",,,,
212,Bundesplatz,bus,"A2,AS2s,A25,A16,A81,A86,A65","52.478678991134835, 13.32860278411238",nan,232,"AS2,A25,A65,A16,A2",Bundesplatz
213,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"A76,A77","52.4570129343595, 13.383915410725029",nan,234,"A77,A76",nan
214,Burgemeisterstrasse Ecke Tempelhofer Damm,bus,A78,"52.457032547412204, 13.38394759723302",,,,
215,Buschallee Ecke Klement-Gottwald-Alle,bus,A46,"52.55387831866095, 13.467451226079117",nan,236,A46,nan
216,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,70,"52.5537598,13.4691966",Q65546661,237,70,Buschallee
217,Buschkrug,strassenbahn,47,"52.452470895695484, 13.450748195174354",nan,238,47,Buschkrug
218,Buschkrug Alle Ecke Blaschko-Allee,bus,A73,"52.452543995347135, 13.452160354904555",nan,239,A73,nan
219,"Bölschestrasse, Brauerei",strassenbahn,"84,87","52.44699265840037, 13.624251999339991",nan,240,87,nan
220,Bötzowbahn,bus,A63,"52.560942294746425, 13.171763262130519",nan,241,A63,nan
221,Bühler Weg,bus,A52,"52.41724643282917, 13.412638052235238",nan,242,A52,nan
222,Bülowstrasse Ecke Potsdamer Strasse,bus,A83,"52.49785436286328, 13.362010881893301",,,,
223,Bürgerwäldchen,strassenbahn,83,"52.4893741,13.6064139",Q66364551,244,83,nan
224,Bürknersfelde,bus,A43,"52.549540493749184, 13.586689708671303",nan,245,"A43,O37",nan
225,Canovastrasse,bus,AS2s,"52.46306323889937, 13.342852729949465",nan,246,AS2,Canovastrasse Ecke Thorwaldsenstrasse
